,X,unique.ID,Family,New.Genus,New.Species,TPL.name,Site,Block,Plot,Indiv.ID,Stem.ID,Age.class,Dead.19,Diam.18,date.18,hght.18,hght.19,Abn.18,Load.18,Prev.18,Load.19,Prev.19,note,Diam.19,date.19,Diam,Cut,treatment.perc.cut,date.23,scribe.23,diam.23,dead.23,coi.23,prev.23,canopy.liana.23,stems24.23,stems46.23,stems68.23,stems810.23,stems10pl.23,total.stems.23,notes.23,leaning.23,multistem.23,alt.pom.23,broken.23,retag.no.23,notes.to.rw,remove_rgr,why_remove,timber_spp,pre_liana_presence,post_liana_presence
1,1,10000a,Annonaceae,Anaxagorea,javanica,Anaxagorea javanica,Site2,Block78,Plot78b,10000,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,0,,1.319848476,24/09/2019,1.319848476,1,60,30/08/2023,WG,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,missing,0,0,0,0,NA,,0,,0,0,NA
2,2,10001a,Dipterocarpaceae,Shorea,fallax,Shorea fallax,Site2,Block78,Plot78b,10001,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,0,,4.444862203,24/09/2019,4.444862203,1,60,30/08/2023,WG,4.31,0,NA,NA,NA,0,NA,NA,NA,NA,0,,0,0,0,0,NA,,0,,1,0,NA
3,3,10002a,Dipterocarpaceae,Shorea,fallax,Shorea fallax,Site2,Block78,Plot78b,10002,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,0,,2.144994172,24/09/2019,2.144994172,1,60,30/08/2023,WG,2.31,0,NA,NA,NA,0,NA,NA,NA,NA,0,,0,0,0,0,NA,,0,,1,0,NA
4,4,10002b,Dipterocarpaceae,Shorea,fallax,Shorea fallax,Site2,Block78,Plot78b,10002,b,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2.109976303,24/09/2019,2.109976303,1,60,30/08/2023,WG,2.03,0,NA,NA,NA,0,NA,NA,NA,NA,0,,0,0,0,0,NA,,0,,1,0,NA
5,5,10003a,Dipterocarpaceae,Shorea,fallax,Shorea fallax,Site2,Block78,Plot78b,10003,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,0,,2.414870597,24/09/2019,2.414870597,1,60,30/08/2023,WG,2.43,0,NA,NA,NA,0,NA,NA,NA,NA,0,,0,0,0,0,NA,,0,,1,0,NA
6,6,10004a,Annonaceae,Anaxagorea,javanica,Anaxagorea javanica,Site2,Block78,Plot78b,10004,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,0,,2.544955795,24/09/2019,2.544955795,1,60,30/08/2023,WG,2.21,0,NA,NA,NA,0,NA,NA,NA,NA,0,,0,0,0,0,NA,,0,,0,0,NA
7,7,10005a,Annonaceae,Anaxagorea,javanica,Anaxagorea javanica,Site2,Block78,Plot78b,10005,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,0,,1.994692959,24/09/2019,1.994692959,1,60,30/08/2023,WG,2.84,0,NA,NA,NA,0,NA,NA,NA,NA,0,,0,0,0,0,NA,,0,,0,0,NA
8,8,10006a,Putranjivaceae,Drypetes,longifolia,Drypetes longifolia,Site2,Block78,Plot78b,10006,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,0,,1.410673598,24/09/2019,1.410673598,1,60,30/08/2023,WG,2.06,0,NA,NA,NA,0,NA,NA,NA,NA,0,,1,0,0,0,NA,,0,,0,0,NA
9,9,10007a,Euphorbiaceae,Koilodepas,longifolium,Koilodepas longifolium,Site2,Block78,Plot78b,10007,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,0,,2.724995413,24/09/2019,2.724995413,1,60,30/08/2023,WG,3.09,0,NA,NA,NA,0,NA,NA,NA,NA,0,,0,0,0,0,NA,,0,,0,0,NA
10,10,10008a,Annonaceae,Anaxagorea,javanica,Anaxagorea javanica,Site2,Block78,Plot78b,10008,a,sappling,,NA,NA,NA,137.4,NA,NA,NA,NA,0,,12.94217911,24/09/2019,12.94217911,1,60,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,NA
11,11,10009a,,Antidesma,sp,Antidesma sp,Site2,Block78,Plot78b,10009,a,sappling,,NA,NA,NA,86,NA,NA,NA,NA,0,,8.248636251,24/09/2019,8.248636251,1,60,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,NA
